x,y,z
-2738.5087890625,349.5487976074219,-4434.57373046875
-2738.3427734375,349.5511474609375,-4434.3564453125
-2738.17822265625,349.55377197265625,-4434.123046875
-2738.0185546875,349.556884765625,-4433.87744140625
-2737.862548828125,349.56024169921875,-4433.61572265625
-2737.712158203125,349.5635986328125,-4433.33984375
-2737.5693359375,349.56689453125,-4433.05224609375
-2737.43408203125,349.5704650878906,-4432.7509765625
-2737.30810546875,349.57440185546875,-4432.4375
-2737.18994140625,349.578369140625,-4432.107421875
-2737.081787109375,349.5821533203125,-4431.765625
-2736.98486328125,349.58587646484375,-4431.412109375
-2736.899658203125,349.5898132324219,-4431.0458984375
-2736.826904296875,349.59381103515625,-4430.66845703125
-2736.767578125,349.5976257324219,-4430.28369140625
-2736.721435546875,349.6013488769531,-4429.8828125
-2736.691650390625,349.6054382324219,-4429.47412109375
-2736.67919921875,349.610107421875,-4429.05517578125
-2736.683349609375,349.6148376464844,-4428.62744140625
-2736.702880859375,349.6191101074219,-4428.1943359375
-2736.739013671875,349.6231994628906,-4427.74951171875
-2736.793212890625,349.6273193359375,-4427.30078125
-2736.866943359375,349.6317138671875,-4426.8486328125
-2736.95947265625,349.63580322265625,-4426.39599609375
-2737.068359375,349.6389465332031,-4425.947265625
-2737.1943359375,349.6413879394531,-4425.5
-2737.33837890625,349.6436767578125,-4425.05712890625
-2737.500244140625,349.64599609375,-4424.623046875
-2737.677490234375,349.6477355957031,-4424.19775390625
-2737.87158203125,349.648681640625,-4423.77685546875
-2738.073974609375,349.6492004394531,-4423.37841796875
-2738.29833984375,349.6500244140625,-4422.98046875
-2738.537109375,349.6510009765625,-4422.5966796875
-2738.7880859375,349.651611328125,-4422.2265625
-2739.057373046875,349.6519775390625,-4421.8623046875
-2739.336669921875,349.6527099609375,-4421.5185546875
-2739.630859375,349.654052734375,-4421.18994140625
-2739.93603515625,349.65533447265625,-4420.87841796875
-2740.25537109375,349.6561279296875,-4420.5771484375
-2740.56884765625,349.65679931640625,-4420.30224609375
-2740.885009765625,349.65789794921875,-4420.041015625
-2741.193603515625,349.6591491699219,-4419.798828125
-2741.49365234375,349.6600036621094,-4419.572265625
-2741.781494140625,349.6606140136719,-4419.3583984375
-2742.044677734375,349.6614685058594,-4419.16015625
-2742.29345703125,349.6624755859375,-4418.96728515625
-2742.528564453125,349.6632080078125,-4418.77490234375
-2742.747802734375,349.6636047363281,-4418.5830078125
-2742.947509765625,349.664306640625,-4418.39208984375
-2743.1318359375,349.665283203125,-4418.1982421875
-2743.298828125,349.66607666015625,-4418.00341796875
-2743.449951171875,349.6664733886719,-4417.80859375
-2743.587646484375,349.6668395996094,-4417.60986328125
-2743.7119140625,349.6674499511719,-4417.404296875
-2743.8232421875,349.6681213378906,-4417.19091796875
-2743.922119140625,349.66851806640625,-4416.970703125
-2744.010498046875,349.6686096191406,-4416.74072265625
-2744.087646484375,349.6689147949219,-4416.50048828125
-2744.155029296875,349.6695861816406,-4416.24609375
-2744.21533203125,349.6700744628906,-4415.9765625
-2744.26904296875,349.6700744628906,-4415.69482421875
-2744.317626953125,349.6700744628906,-4415.39599609375
-2744.360595703125,349.67041015625,-4415.08349609375
-2744.399169921875,349.6707458496094,-4414.7578125
-2744.435302734375,349.6706237792969,-4414.41796875
-2744.468994140625,349.6700744628906,-4414.06787109375
-2744.5029296875,349.66961669921875,-4413.70166015625
-2744.539306640625,349.66943359375,-4413.31201171875
-2744.578369140625,349.66925048828125,-4412.9140625
-2744.622802734375,349.6686706542969,-4412.501953125
-2744.675537109375,349.6679992675781,-4412.07080078125
-2744.738525390625,349.6676330566406,-4411.62451171875
-2744.810546875,349.6674499511719,-4411.16650390625
-2744.888671875,349.6669616699219,-4410.70947265625
